x1,x2
1,N/A
2,44%
3,53%
4,94%
5,83%
6,91%
7,95%
8,74%
9,85%
10,84%
11,89%
12,94%
13,50%
14,91%
15,84%
16,93%
17,99%
18,39%
19,79%
20,94%
21,87%
22,86%
23,87%
24,92%
25,79%
26,55%
27,66%
28,76%
29,77%
30,37%
31,92%
32,N/A
33,70%
34,94%
35,85%
36,95%
37,95%
38,N/A
39,81%
40,76%
41,94%
42,95%
43,81%
44,94%
45,93%
46,83%
47,84%
48,98%
49,82%
50,84%
51,63%
52,N/A
53,63%
54,53%
55,58%
56,46%
57,95%
58,85%
59,85%
60,81%
61,N/A
62,97%
63,93%
64,N/A
65,54%
66,77%
67,77%
68,91%
69,94%
70,90%
71,93%
72,74%
73,96%
74,89%
75,87%
76,N/A
77,84%
78,87%
79,76%
80,89%
81,86%
82,85%
83,86%
84,82%
85,28%
86,93%
87,86%
88,98%
89,71%
90,32%
91,98%
92,86%
93,81%
94,84%
95,N/A
96,N/A
97,72%
98,95%
99,73%
100,94%
101,N/A
102,85%
103,91%
104,84%
105,87%
106,74%
107,99%
108,42%
109,69%
110,83%
111,91%
112,94%
113,98%
114,93%
115,80%
116,85%
117,87%
118,87%
119,87%
120,47%
121,95%
122,100%
123,86%
124,73%
125,87%
126,N/A
127,85%
128,85%
129,77%
130,87%
131,N/A
132,92%
133,84%
134,88%
135,77%
136,85%
137,94%
138,86%
139,87%
140,N/A
141,98%
142,97%
143,84%
144,88%
145,73%
146,63%
147,N/A
148,80%
149,47%
150,97%
151,79%
152,76%
153,88%
154,93%
155,66%
156,89%
157,74%
158,89%
159,85%
160,85%
161,80%
162,85%
163,85%
164,N/A
165,88%
166,82%
167,86%
168,74%
169,79%
170,72%
171,54%
172,66%
173,66%
174,54%
175,80%
176,87%
177,77%
178,14%
179,78%
180,88%
181,100%
182,68%
183,90%
184,71%
185,69%
186,10%
187,78%
188,N/A
189,61%
190,42%
191,N/A
192,64%
193,78%
194,69%
195,81%
196,N/A
197,77%
198,56%
199,81%
200,66%
201,75%
202,61%
203,69%
204,37%
205,58%
206,65%
207,N/A
208,63%
209,91%
210,83%
211,84%
212,98%
213,56%
214,89%
215,100%
216,84%
217,N/A
218,N/A
219,73%
220,82%
221,89%
222,62%
223,77%
224,82%
225,64%
226,N/A
227,69%
228,94%
229,80%
230,76%
231,N/A
232,76%
233,89%
234,N/A
235,13%
236,74%
237,58%
238,N/A
239,N/A
240,90%
241,59%
242,65%
243,82%
244,60%
245,85%
246,71%
247,92%
248,72%
249,84%
250,57%
251,61%
252,68%
253,73%
254,84%
255,73%
256,85%
257,95%
258,100%
259,87%
260,85%
261,90%
262,78%
263,87%
264,N/A
265,85%
266,78%
267,81%
268,58%
269,76%
270,79%
271,N/A
272,81%
273,51%
274,70%
275,N/A
276,N/A
277,64%
278,58%
279,85%
280,48%
281,N/A
282,98%
283,77%
284,87%
285,67%
286,72%
287,87%
288,77%
289,38%
290,63%
291,74%
292,81%
293,77%
294,93%
295,82%
296,47%
297,90%
298,91%
299,40%
