x1,x2
0,99%
0,81%
1,77%
1,N/A
1,48%
1,64%
1,84%
1,97%
1,92%
1,N/A
1,90%
2,88%
2,66%
2,94%
2,81%
2,99%
2,99%
2,N/A
2,N/A
2,84%
2,74%
4,83%
4,94%
4,N/A
4,88%
5,N/A
5,63%
5,95%
5,86%
5,80%
6,87%
6,N/A
6,94%
6,91%
6,84%
6,88%
7,N/A
7,98%
7,N/A
7,N/A
7,94%
7,100%
7,92%
11,74%
11,84%
11,50%
11,39%
11,79%
11,81%
11,63%
11,54%
11,82%
11,N/A
11,80%
12,1%
12,83%
12,93%
12,60%
12,56%
12,74%
12,37%
12,70%
12,94%
12,73%
12,71%
12,59%
13,76%
13,89%
13,89%
13,28%
13,81%
13,84%
13,N/A
13,85%
13,77%
13,85%
13,63%
13,97%
13,85%
14,52%
14,89%
14,85%
14,95%
14,79%
14,92%
14,74%
14,89%
14,95%
14,91%
14,58%
14,87%
14,83%
14,61%
15,77%
15,43%
15,29%
15,68%
15,90%
15,35%
15,N/A
15,27%
15,94%
15,90%
15,87%
15,21%
15,N/A
15,87%
15,89%
20,78%
20,88%
20,N/A
20,77%
20,83%
20,84%
20,100%
20,N/A
20,64%
20,94%
20,80%
20,76%
20,85%
20,84%
20,73%
20,100%
20,90%
20,N/A
20,87%
20,81%
21,84%
21,89%
21,63%
21,89%
21,93%
21,83%
21,88%
21,72%
21,69%
21,54%
21,74%
21,70%
21,76%
21,61%
21,83%
21,76%
21,86%
21,62%
21,N/A
21,71%
21,70%
25,99%
25,89%
25,91%
25,N/A
25,78%
25,79%
25,78%
25,89%
25,89%
25,89%
25,87%
25,69%
25,93%
25,93%
25,93%
25,92%
25,N/A
25,95%
25,N/A
25,84%
25,92%
25,95%
25,N/A
25,94%
25,81%
26,70%
26,N/A
26,84%
26,90%
26,N/A
26,83%
26,86%
26,63%
26,87%
26,93%
26,85%
26,69%
26,98%
26,99%
26,82%
26,94%
26,88%
26,99%
26,86%
26,85%
26,80%
26,17%
26,87%
26,N/A
26,77%
26,27%
29,66%
29,80%
29,87%
29,61%
29,42%
29,81%
29,75%
29,61%
29,69%
29,37%
29,58%
29,63%
29,98%
29,N/A
29,73%
29,N/A
29,N/A
29,60%
29,71%
29,72%
29,73%
29,78%
29,78%
29,58%
29,81%
29,64%
29,77%
29,74%
29,90%
29,74%
29,92%
29,85%
29,77%
29,88%
29,85%
29,83%
29,94%
29,90%
29,85%
29,N/A
29,69%
29,84%
29,N/A
29,53%
29,84%
29,86%
29,95%
29,70%
29,78%
29,89%
29,80%
29,88%
29,87%
29,86%
29,94%
29,83%
29,95%
29,78%
39,72%
39,54%
39,66%
39,54%
39,14%
39,71%
39,69%
39,N/A
39,64%
39,78%
39,69%
39,56%
39,65%
39,89%
39,84%
39,N/A
39,89%
39,90%
39,82%
39,92%
39,61%
39,85%
39,95%
39,87%
39,85%
39,87%
39,N/A
39,81%
39,70%
39,N/A
39,N/A
39,58%
39,85%
39,N/A
39,98%
39,38%
39,93%
39,82%
39,47%
41,91%
41,89%
41,94%
41,91%
41,94%
41,87%
41,77%
41,92%
41,95%
41,95%
41,94%
41,83%
41,82%
41,97%
41,93%
41,77%
41,90%
41,93%
41,96%
41,87%
41,N/A
41,86%
41,86%
41,71%
41,72%
41,85%
41,91%
41,87%
41,99%
41,93%
41,87%
41,87%
41,87%
41,84%
41,84%
41,73%
41,76%
41,93%
41,74%
41,89%
41,82%
42,77%
42,100%
42,68%
42,90%
42,10%
42,78%
42,N/A
42,81%
42,66%
42,N/A
42,91%
42,56%
42,82%
42,89%
42,62%
42,77%
42,82%
42,N/A
42,69%
42,76%
42,13%
42,74%
42,58%
42,N/A
42,59%
42,65%
42,84%
42,57%
42,68%
42,85%
42,76%
42,79%
42,51%
42,48%
42,77%
42,87%
42,67%
42,72%
42,63%
42,77%
42,91%
42,40%
43,59%
43,77%
43,82%
43,63%
43,90%
43,69%
43,88%
43,N/A
43,79%
43,59%
43,79%
43,87%
43,74%
43,34%
43,69%
43,72%
43,92%
43,N/A
43,60%
43,72%
43,71%
43,71%
43,90%
43,N/A
43,76%
43,92%
43,82%
43,81%
43,92%
43,72%
43,N/A
43,N/A
43,42%
43,97%
43,48%
43,32%
43,82%
43,89%
43,N/A
43,94%
43,23%
43,67%
43,74%
48,83%
48,64%
48,76%
48,70%
48,91%
48,69%
48,69%
48,88%
48,67%
48,90%
48,98%
48,70%
48,N/A
48,73%
48,84%
48,81%
48,93%
48,63%
48,74%
48,89%
48,85%
48,88%
48,N/A
48,72%
48,73%
48,55%
48,N/A
48,N/A
48,60%
48,74%
48,63%
48,47%
48,68%
48,86%
48,92%
48,76%
48,94%
48,N/A
48,42%
48,52%
48,50%
48,65%
48,85%
48,42%
48,85%
48,N/A
48,80%
48,67%
81,44%
81,53%
81,94%
81,95%
81,85%
81,84%
81,93%
81,99%
81,79%
81,86%
81,92%
81,55%
81,66%
81,76%
81,37%
81,70%
81,94%
81,85%
81,95%
81,81%
81,93%
81,84%
81,84%
81,N/A
81,53%
81,58%
81,46%
81,95%
81,85%
81,85%
81,81%
81,77%
81,74%
81,87%
81,76%
81,85%
81,86%
81,93%
81,98%
81,32%
81,98%
81,86%
81,N/A
81,73%
81,94%
81,84%
81,74%
81,42%
81,69%
81,83%
81,91%
81,98%
81,80%
81,85%
81,87%
81,47%
81,95%
81,86%
81,73%
81,N/A
81,85%
81,87%
81,N/A
81,88%
81,77%
81,94%
81,87%
81,98%
81,97%
81,N/A
81,47%
81,79%
81,88%
81,66%
81,89%
81,85%
81,85%
81,85%
81,86%
81,74%
81,79%
